# reading<TAB>surface<TAB>score
いえろー	イエロー	100
いえろーぐりーん	イエローグリーン	95
えめらるどぐりーん	エメラルドグリーン	90
おりーぶ	オリーブ	90
おりーぶぐりーん	オリーブグリーン	90
おれんじ	オレンジ	100
かーき	カーキ	100
ぐりーん	グリーン	100
ぐれー	グレー	100
こーらるぴんく	コーラルピンク	80
さーもんぴんく	サーモンピンク	90
しあん	シアン	100
しるばー	シルバー	100
すかいぶるー	スカイブルー	100
すのーほわいと	スノーホワイト	100
だーくぶるー	ダークブルー	90
だーくぐりーん	ダークグリーン	90
たーこいずぶるー	ターコイズブルー	90
ちょこれーと	チョコレート	100
ねいびーぶるー	ネイビーブルー	95
ねおんぴんく	ネオンピンク	95
ばーがんでぃ	バーガンディ	90
ぱすてるぴんく	パステルピンク	90
びりじあん	ビリジアン	90
ぴんく	ピンク	100
ふぉれすとぐりーん	フォレストグリーン	100
ぶらうん	ブラウン	100
ぶるー	ブルー	100
ぶるーぐれー	ブルーグレー	90
べーじゅ	ベージュ	100
まぜんた	マゼンタ	100
みんとぐりーん	ミントグリーン	95
もかぶらうん	モカブラウン	95
らべんだー	ラベンダー	100
らずべりー	ラズベリー	100
ろーずぴんく	ローズピンク	100
わいんれっど	ワインレッド	100
