# reading<TAB>surface<TAB>score
おおきい    大きい	300
ちいさい    小さい	300
ながい    長い	300
みじかい    短い	300
ひろい    広い	300
せまい    狭い	300
たかい    高い	300
ひくい    低い	300
ふかい    深い	300
あさい    浅い	300
ふとい    太い	300
ほそい    細い	300
おもい    重い	300
かるい    軽い	300
あつい    暑い	300
さむい    寒い	300
あつい    厚い	300
うすい    薄い	300
あたたかい    温かい	300
すずしい    涼しい	300
ちかい    近い	300
とおい    遠い	300
はやい    早い	300
はやい    速い	300
おそい    遅い	300
わかい    若い	300
かたい    固い	300
やわらかい    柔らかい	300
あたらしい    新しい	300
ふるい    古い	300
あかるい    明るい	300
くらい    暗い	300
うつくしい    美しい	300
みにくい    醜い	300
きれい    綺麗	300
きたない    汚い	300
