# reading<TAB>surface<TAB>score
れい    零    300
ぜろ    零    300
いち    一    300
に      二    300
さん    三    300
し      四    300
よん    四    300
ご      五    300
ろく    六    300
しち    七    300
なな    七    300
はち    八    300
きゅう  九    300
く      九    300
じゅう  十    300
びゃく  百    300
ぴゃく  百    300
せん    千    100
まん    万    300
おく    億    300
ちょう    兆    300
けい    京    300
がい    垓    300
じょ    秭    300
じょう  穣    300
こう    溝    300
こう    𥝱    300
かん    澗    300
せい    正    300
さい    載    300
ごく    極    300
ごうがしゃ  恒河沙    300
あそうぎ    阿僧祇    300
なゆた    那由他    300
ふかしぎ    不可思議    300
むりょうたいすう    無量大数    300


ひとつ    一つ    300
ふたつ    二つ    300
みっつ    三つ    300
よっつ    四つ    300
いつつ    五つ    300
むっつ    六つ    300
ななつ    七つ    300
やっつ    八つ    300
ここのつ  九つ    300
とお      十    250

いち    壱    200
に      弐    200
さん    参    200
し      肆    200
よん    肆    200
ご      伍    200
ろく    陸    200
なな    漆    200
しち    漆    200
はち    捌    200
きゅう  玖    200
じゅう  拾    200

いち    Ⅰ    100
に      Ⅱ    100
さん    Ⅲ    100
よん    Ⅳ    100
し      Ⅳ    100
ご      Ⅴ    100
ろく    Ⅵ    100
なな    Ⅶ    100
しち    Ⅶ    100
はち    Ⅷ    100
きゅう  Ⅸ    100
じゅう  Ⅹ    100
ごじゅう    Ⅼ    100
ひゃく      Ⅽ    100
ごひゃく    Ⅾ    100
せん        Ⅿ    100
