# reading<TAB>surface<TAB>score
こ    個    300
さつ    冊    300
ほん    本    300
まい    枚    300
だい    台    300
ひき    匹    300
とう    頭    300
わ    羽    300
かん    巻    300
かん    艦    300
かん    缶    300
にん    人    300
めい    名    300
びき    尾    300
き    騎    300
し    紙    300
ちょう  丁    300
めん    面    300
はい    杯    300
はい    盃    300
びん    瓶    300
けん    軒    300
とう    棟    300
き      機    300
りょう  両    300
せき    隻    300
ぶ      部    300
つう    通    300
へん    編    300
かい    回    300
ど      度    300
ねん    年    300
にち    日    300
じ      時    300
ふん    分    300
びょう  秒    300
しょ    所    300
く      区    300
こく    国    300
ぐみ    組    300
そう    層    300
だん    段    300
れつ    列    300
か      課    300
しょう  章    300
