# reading<TAB>surface<TAB>score
まぐろ	マグロ	100
まぐろ	鮪	90
かつお	カツオ	100
かつお	鰹	90
さけ	サケ	100
さけ	鮭	90
たら	タラ	100
たら	鱈	90
ふぐ	フグ	100
ふぐ	河豚	90
たい	タイ	100
たい	鯛	90
ひらめ	ヒラメ	100
ひらめ	平目	90
あんこう	アンコウ	100
あんこう	鮟鱇	90
うなぎ	ウナギ	100
うなぎ	鰻	90
どじょう	ドジョウ	100
どじょう	泥鰌	90
あゆ	アユ	100
あゆ	鮎	90
いわし	イワシ	100
いわし	鰯	90
さんま	サンマ	100
さんま	秋刀魚	90
さば	サバ	100
さば	鯖	90
ぶり	ブリ	100
ぶり	鰤	90
すずき	スズキ	100
すずき	鱸	90
こい	コイ	100
こい	鯉	90
ふな	フナ	100
ふな	鮒	90
きんぎょ	キンギョ	100
きんぎょ	金魚	90
めだか	メダカ	100
めだか	目高	90
たつのおとしご	タツノオトシゴ	100
たつのおとしご	竜の落とし子	100
たつのおとしご	海馬	90
とびうお	トビウオ	100
とびうお	飛魚	90
まんぼう	マンボウ	100
まんぼう	翻車魚	90
しいら	シイラ	100
しいら	鱪	90
はた	ハタ	100
はた	石斑魚	90
めばる	メバル	100
めばる	眼張	90
かさご	カサゴ	100
かさご	笠子	90
いしだい	イシダイ	100
いしだい	石鯛	90
さわら	サワラ	100
さわら	鰆	90
ぼら	ボラ	100
ぼら	鰡	90
きす	キス	100
きす	鱚	90
かれい	カレイ	100
かれい	鰈	90
あなご	アナゴ	100
あなご	穴子	90
はも	ハモ	100
はも	鱧	90
なまず	ナマズ	100
なまず	鯰	90
らいぎょ	ライギョ	100
らいぎょ	雷魚	90
ぴらにあ	ピラニア	100
でんきうなぎ	デンキウナギ	100
でんきうなぎ	電気鰻	90
めかじき	メカジキ	100
めかじき	目梶木	90
ししゃも	シシャモ	100
ししゃも	柳葉魚	90
わかさぎ	ワカサギ	100
わかさぎ	公魚	90
はたはた	ハタハタ	100
はたはた	鰰	90
きびなご	キビナゴ	100
きびなご	黍魚子	90
あかめ	アカメ	100
あかめ	赤目	90
ます	マス	100
ます	鱒	90
にしん	ニシン	100
にしん	鰊	90
いさき	イサキ	100
いさき	伊佐木	90
めじな	メジナ	100
めじな	眼仁奈	90
くろだい	クロダイ	100
くろだい	黒鯛	90
まだい	マダイ	100
まだい	真鯛	90
あじ	アジ	100
あじ	鰺	90
かじき	カジキ	100
かじき	梶木	90
かんぱち	カンパチ	100
かんぱち	間八	90
ひらまさ	ヒラマサ	100
ひらまさ	平政	90
かわはぎ	カワハギ	100
かわはぎ	皮剥	90
あこうだい	アコウダイ	100
あこうだい	赤魚鯛	90
きんめだい	キンメダイ	100
きんめだい	金目鯛	90
のどぐろ	ノドグロ	100
のどぐろ	喉黒	90
あかむつ	アカムツ	100
あいなめ	アイナメ	100
あいなめ	鮎並	90
ほっけ	ホッケ	100
ほっけ	𩸽	90
にじます	ニジマス	100
にじます	虹鱒	90
いわな	イワナ	100
いわな	岩魚	90
やまめ	ヤマメ	100
やまめ	山女魚	90
あまご	アマゴ	100
あまご	雨子	90
しゅもくざめ	シュモクザメ	100
しゅもくざめ	撞木鮫	90
あかえい	アカエイ	100
あかえい	赤鱏	90
ちょうざめ	チョウザメ	100
ちょうざめ	蝶鮫	90
びわこおおなまず	ビワコオオナマズ	100
びわこおおなまず	琵琶湖大鯰	90
うつぼ	ウツボ	100
うつぼ	鱓	90
やがら	ヤガラ	100
やがら	矢柄	90
えそ	エソ	100
めひかり	メヒカリ	100
めひかり	眼光	90
あおめえそ	アオメエソ	100
べら	ベラ	100
ぶだい	ブダイ	100
ぶだい	武鯛	90
はこふぐ	ハコフグ	100
はこふぐ	箱河豚	90
はりせんぼん	ハリセンボン	100
はりせんぼん	針千本	90
くろまぐろ	クロマグロ	100
くろまぐろ	黒鮪	90
みなみまぐろ	ミナミマグロ	100
みなみまぐろ	南鮪	90
そうだがつお	ソウダガツオ	100
そうだがつお	宗太鰹	90
はがつお	ハガツオ	100
はがつお	歯鰹	90
りゅうぐうのつかい	リュウグウノツカイ	100
りゅうぐうのつかい	竜宮の使い	90
みつくりざめ	ミツクリザメ	100
みつくりざめ	ゴブリンシャーク	90
らぶか	ラブカ	100
めがまうす	メガマウス	100
めがまうす	巨口鮫	90
さめ	サメ	100
さめ	鮫	90
えい	エイ	100
えい	鱏	90
とらざめ	トラザメ	100
とらざめ	虎鮫	90
ねこざめ	ネコザメ	100
ねこざめ	猫鮫	90
じんべいざめ	ジンベイザメ	100
じんべいざめ	甚平鮫	90
ほおじろざめ	ホオジロザメ	100
ほおじろざめ	頬白鮫	90
しびれえい	シビレエイ	100
しびれえい	痺鱏	90
がんぎえい	ガンギエイ	100
がんぎえい	雁木鱏	90
ぶらっくばす	ブラックバス	100
おおくちばす	オオクチバス	100
ぶるーぎる	ブルーギル	100
あめりかなまず	アメリカナマズ	100
ちゃねるきゃっとふぃっしゅ	チャネルキャットフィッシュ	100
しーらかんす	シーラカンス	100
しーらかんす	空棘魚	90
あろわな	アロワナ	100
あろわな	骨舌魚	90
