# reading<TAB>surface<TAB>score
あ	吾	80
あーし	私	80
あいたい	私	80
いっし	私	80
いっし	私め	80
うち	内	100
うち	うち	100
うせい	迂生	50
うら	俺	60
おいどん	俺どん	70
おいら	俺等	80
くせい	愚生	50
こちとら	此方人等	50
じぶん	自分	100
じぶん	じぶん	100
しょうせい	小生	70
ちん	朕	30
とういん	当院	80
とうきょく	当局	80
とうくみあい	当組合	80
とうしゃ	当社	100
とうほうじん	当法人	80
ばんせい	晩生	40
ひさい	非才	50
ふさい	不才	50
ふねい	不佞	50
へいいん	弊院	80
へいくみあい	弊組合	80
へいしゃ	弊社	100
ぼく	僕	100
ぼく	ぼく	100
ぼくたち	僕達	100
ぼくたち	ぼくたち	100
ぼくちゃん	僕ちゃん	70
まろ	麻呂	30
まろ	麿	30
みども	身共	50
やつがれ	僕	30
よ	余	30
よ	予	30
ろうせい	老生	40
わ	我	70
わい	ワイ	80
わいし	ワイ氏	60
わいな	私	50
わがはい	吾輩	80
わがはい	我輩	75
わがはい	我が輩	60
わがはい	吾が輩	55
わがほう	我方	80
わし	儂	80
わし	私	80
わし	わし	100
わしたち	儂等	80
わたしたち	私たちは	100
わたしたち	わたしたち	100
わたし	私	100
わたし	わたし	100
わたしめ	私め	80
わたくし	わたくし	100
わたくしめ	私め	80
わて	私	70
わてくし	私	60
わてら	私ら	70
わだす	私	60
わらわ	妾	80
われ	我	80
われ	吾	80
われら	我等	90
われわれ	我々	100
